Address,formatted_address,Lat,Lon
15TH ST AND P ST, NW,P St &amp; 15th St. Sacramento. CA 95814. USA,38.57183000000001,-121.489429
4TH ST AND MASSACHUSETTS AVE, NW,4th St NW &amp; Massachusetts Ave NW. Washington. DC 20001. USA,38.9002327,-77.0161831
10TH ST AND F ST, NE,10th St &amp; F St. Pawnee City. NE 68420. USA,40.1125721,-96.1542636
6TH ST AND MASSACHUSETTS AVE, NE,6th St NE &amp; Massachusetts Ave NE. Washington. DC 20002. USA,38.8931791,-76.99846889999999
14TH ST AND U ST, NW,U St NW &amp; 14th St NW. Washington. DC 20009. USA,38.91701390000001,-77.0319646
8TH ST AND MASSACHUSETTS AVE, NE,8th St NE &amp; Massachusetts Ave NE. Washington. DC 20002. USA,38.891723,-76.994961
3RD ST AND E ST, NW,E St &amp; 3rd St. Davis. CA 95616. USA,38.5445432,-121.7414176
29TH ST AND M ST, NW,M St NW &amp; US-29. Washington. DC 20007. USA,38.9049964,-77.0702249
11TH ST AND K ST, NE,Avenue K &amp; N 11th St. Carter Lake. IA 51510. USA,41.28675339999999,-95.91571189999999
18TH ST AND RIGGS PL, NW,Riggs Pl NW &amp; 18th St NW. Washington. DC 20009. USA,38.9133681,-77.0416603
17TH ST AND PENNSYLVANIA AVE, NW,17th St NW &amp; Pennsylvania Ave NW. Washington. DC 20006. USA,38.8988163,-77.0394601
17TH ST AND T ST, NW,17th St &amp; T St. Sacramento. CA 95811. USA,38.5667429,-121.488647
